berth_id,crane_id,operation_start,operation_end,containers_handled,crane_hours
23,52,2023-01-01 00:00:00,2023-01-01 05:00:00,834,4.484674614215033
19,3,2023-01-01 01:00:00,2023-01-01 06:00:00,997,2.6999970826395057
24,38,2023-01-01 02:00:00,2023-01-01 06:00:00,1373,9.16618458662317
10,50,2023-01-01 03:00:00,2023-01-01 09:00:00,542,8.085589029623351
2,16,2023-01-01 04:00:00,2023-01-01 10:00:00,1972,9.397361422431963
13,28,2023-01-01 05:00:00,2023-01-01 09:00:00,635,7.833774028903637
23,54,2023-01-01 06:00:00,2023-01-01 08:00:00,2824,1.4697856777699003
18,19,2023-01-01 07:00:00,2023-01-01 13:00:00,531,7.429583433250374
11,3,2023-01-01 08:00:00,2023-01-01 14:00:00,2977,7.634015965697125
18,55,2023-01-01 09:00:00,2023-01-01 16:00:00,2440,4.669622180658995
7,48,2023-01-01 10:00:00,2023-01-01 17:00:00,2880,8.001163743394118
20,16,2023-01-01 11:00:00,2023-01-01 18:00:00,2346,5.081786651459046
16,44,2023-01-01 12:00:00,2023-01-01 18:00:00,2870,7.547932389449412
19,11,2023-01-01 13:00:00,2023-01-01 17:00:00,2045,2.5520121943239413
21,2,2023-01-01 14:00:00,2023-01-01 22:00:00,1767,4.077657421331306
15,6,2023-01-01 15:00:00,2023-01-01 21:00:00,2793,5.415337524264943
11,58,2023-01-01 16:00:00,2023-01-01 20:00:00,504,8.910658301565427
17,22,2023-01-01 17:00:00,2023-01-01 20:00:00,1790,4.709936692712376
14,22,2023-01-01 18:00:00,2023-01-02 02:00:00,1421,7.234576126584819
3,52,2023-01-01 19:00:00,2023-01-02 04:00:00,993,6.831105334565325
21,25,2023-01-01 20:00:00,2023-01-02 00:00:00,1774,7.391317334679742
13,24,2023-01-01 21:00:00,2023-01-02 01:00:00,1178,6.044727453718198
10,28,2023-01-01 22:00:00,2023-01-02 02:00:00,1300,5.2269216212159
16,18,2023-01-01 23:00:00,2023-01-02 05:00:00,2053,3.5634659090453393
22,49,2023-01-02 00:00:00,2023-01-02 08:00:00,1354,4.300356557944696
14,20,2023-01-02 01:00:00,2023-01-02 04:00:00,58,4.685327038664898
15,1,2023-01-02 02:00:00,2023-01-02 06:00:00,1964,3.7512819075165105
22,34,2023-01-02 03:00:00,2023-01-02 05:00:00,2206,1.1789453317569123
10,29,2023-01-02 04:00:00,2023-01-02 11:00:00,2104,2.484634459046585
3,38,2023-01-02 05:00:00,2023-01-02 09:00:00,1199,2.405094774438545
12,55,2023-01-02 06:00:00,2023-01-02 11:00:00,499,9.360451919219537
13,1,2023-01-02 07:00:00,2023-01-02 10:00:00,1640,6.651663157070779
20,30,2023-01-02 08:00:00,2023-01-02 17:00:00,2219,6.782558248082077
16,33,2023-01-02 09:00:00,2023-01-02 16:00:00,265,2.6545918454584685
21,21,2023-01-02 10:00:00,2023-01-02 14:00:00,258,8.656891391427132
23,11,2023-01-02 11:00:00,2023-01-02 16:00:00,1625,7.929116825190842
24,51,2023-01-02 12:00:00,2023-01-02 16:00:00,2334,5.415974658961856
24,43,2023-01-02 13:00:00,2023-01-02 21:00:00,1809,8.307091989552365
4,25,2023-01-02 14:00:00,2023-01-02 23:00:00,1230,8.381079994302963
14,7,2023-01-02 15:00:00,2023-01-02 20:00:00,2938,1.0195398003180922
19,25,2023-01-02 16:00:00,2023-01-03 01:00:00,2467,7.277719303431986
16,41,2023-01-02 17:00:00,2023-01-03 00:00:00,485,4.515123163912403
4,12,2023-01-02 18:00:00,2023-01-02 21:00:00,298,7.36769854687518
12,5,2023-01-02 19:00:00,2023-01-03 01:00:00,586,1.0164235895118265
5,16,2023-01-02 20:00:00,2023-01-03 00:00:00,1808,1.490757085979161
5,40,2023-01-02 21:00:00,2023-01-03 05:00:00,2195,1.850709912134151
2,6,2023-01-02 22:00:00,2023-01-03 06:00:00,1563,4.832486121642427
20,11,2023-01-02 23:00:00,2023-01-03 06:00:00,2892,9.326658789753779
9,41,2023-01-03 00:00:00,2023-01-03 02:00:00,648,5.228458149628666
21,31,2023-01-03 01:00:00,2023-01-03 09:00:00,174,7.246965747921209
1,19,2023-01-03 02:00:00,2023-01-03 07:00:00,1466,1.0818755414917902
15,18,2023-01-03 03:00:00,2023-01-03 08:00:00,1736,7.637984075891156
16,18,2023-01-03 04:00:00,2023-01-03 09:00:00,2392,7.8836834056499185
1,34,2023-01-03 05:00:00,2023-01-03 08:00:00,1261,4.925805589589556
19,43,2023-01-03 06:00:00,2023-01-03 10:00:00,1759,5.212121769878959
17,34,2023-01-03 07:00:00,2023-01-03 12:00:00,1927,8.281206050283616
15,25,2023-01-03 08:00:00,2023-01-03 11:00:00,2676,1.9839614395102774
23,41,2023-01-03 09:00:00,2023-01-03 12:00:00,1884,7.273209293070557
16,36,2023-01-03 10:00:00,2023-01-03 13:00:00,703,5.143498055078948
1,24,2023-01-03 11:00:00,2023-01-03 14:00:00,1366,2.591269715593852
9,6,2023-01-03 12:00:00,2023-01-03 16:00:00,847,8.315070338580018
2,56,2023-01-03 13:00:00,2023-01-03 15:00:00,1222,9.365057849821868
19,38,2023-01-03 14:00:00,2023-01-03 16:00:00,288,4.561599358757686
24,49,2023-01-03 15:00:00,2023-01-03 20:00:00,2612,6.537140591874891
22,6,2023-01-03 16:00:00,2023-01-03 19:00:00,897,4.656948359958671
23,59,2023-01-03 17:00:00,2023-01-03 23:00:00,789,3.4520457620191456
24,21,2023-01-03 18:00:00,2023-01-04 03:00:00,2009,9.566530518052852
5,45,2023-01-03 19:00:00,2023-01-03 23:00:00,881,5.318059337103383
5,39,2023-01-03 20:00:00,2023-01-04 00:00:00,2736,5.672392994242286
4,49,2023-01-03 21:00:00,2023-01-04 03:00:00,484,9.369166254635047
14,7,2023-01-03 22:00:00,2023-01-04 02:00:00,1030,6.86189396365338
10,39,2023-01-03 23:00:00,2023-01-04 04:00:00,852,1.8396377538184943
6,14,2023-01-04 00:00:00,2023-01-04 08:00:00,2470,5.262936137955718
6,23,2023-01-04 01:00:00,2023-01-04 06:00:00,990,4.460532812940809
11,39,2023-01-04 02:00:00,2023-01-04 07:00:00,2923,8.30653208868506
21,23,2023-01-04 03:00:00,2023-01-04 10:00:00,213,2.9953121946436347
7,29,2023-01-04 04:00:00,2023-01-04 09:00:00,2857,8.3507993421447
19,39,2023-01-04 05:00:00,2023-01-04 10:00:00,2842,7.288621723424817
11,34,2023-01-04 06:00:00,2023-01-04 15:00:00,532,1.4548025706152377
24,40,2023-01-04 07:00:00,2023-01-04 12:00:00,1146,7.5241722421330035
6,32,2023-01-04 08:00:00,2023-01-04 10:00:00,1836,1.6313669140671752
7,58,2023-01-04 09:00:00,2023-01-04 18:00:00,1806,4.051572968688881
11,41,2023-01-04 10:00:00,2023-01-04 17:00:00,444,1.2095026376574989
23,39,2023-01-04 11:00:00,2023-01-04 20:00:00,1900,4.760583729782316
23,26,2023-01-04 12:00:00,2023-01-04 19:00:00,1117,7.514477264476345
15,58,2023-01-04 13:00:00,2023-01-04 17:00:00,2157,8.176683880691503
2,22,2023-01-04 14:00:00,2023-01-04 19:00:00,2208,6.594380893596191
21,27,2023-01-04 15:00:00,2023-01-04 18:00:00,2064,8.890570417555848
13,2,2023-01-04 16:00:00,2023-01-04 21:00:00,1574,8.678280175980142
15,46,2023-01-04 17:00:00,2023-01-05 00:00:00,571,6.996815088270587
20,41,2023-01-04 18:00:00,2023-01-05 03:00:00,2614,8.927821625985068
22,44,2023-01-04 19:00:00,2023-01-04 22:00:00,1488,8.350013820403198
2,44,2023-01-04 20:00:00,2023-01-05 00:00:00,2674,9.586869672386882
22,33,2023-01-04 21:00:00,2023-01-05 02:00:00,1497,7.5806621958366485
2,15,2023-01-04 22:00:00,2023-01-05 07:00:00,717,1.9066053220551638
22,20,2023-01-04 23:00:00,2023-01-05 07:00:00,523,2.141280216250819
14,14,2023-01-05 00:00:00,2023-01-05 09:00:00,102,9.547931793578067
22,32,2023-01-05 01:00:00,2023-01-05 06:00:00,1178,7.128559513941797
9,49,2023-01-05 02:00:00,2023-01-05 11:00:00,2020,3.3389666038192756
4,30,2023-01-05 03:00:00,2023-01-05 05:00:00,730,6.488653447134877
19,47,2023-01-05 04:00:00,2023-01-05 11:00:00,2958,4.193983482061871
13,38,2023-01-05 05:00:00,2023-01-05 09:00:00,2136,2.2983469305882416
1,2,2023-01-05 06:00:00,2023-01-05 09:00:00,1210,8.335453636290076
20,31,2023-01-05 07:00:00,2023-01-05 16:00:00,574,4.230502634080616
20,35,2023-01-05 08:00:00,2023-01-05 10:00:00,2596,3.8268543453719794
13,54,2023-01-05 09:00:00,2023-01-05 18:00:00,1448,2.7987002541707646
2,45,2023-01-05 10:00:00,2023-01-05 17:00:00,170,5.346215387324359
10,45,2023-01-05 11:00:00,2023-01-05 19:00:00,485,8.497510002180075
17,43,2023-01-05 12:00:00,2023-01-05 20:00:00,1555,7.034115290986569
7,28,2023-01-05 13:00:00,2023-01-05 19:00:00,2441,1.5075567236663794
23,26,2023-01-05 14:00:00,2023-01-05 20:00:00,2580,1.5948669791925671
12,40,2023-01-05 15:00:00,2023-01-05 17:00:00,1036,6.1300716337251275
17,51,2023-01-05 16:00:00,2023-01-05 19:00:00,1166,3.958836839752211
18,30,2023-01-05 17:00:00,2023-01-05 20:00:00,198,6.714865096509178
20,11,2023-01-05 18:00:00,2023-01-06 02:00:00,2521,8.473361343900352
24,31,2023-01-05 19:00:00,2023-01-06 01:00:00,2252,1.8414960074078364
18,47,2023-01-05 20:00:00,2023-01-06 05:00:00,1757,8.535085590390953
14,49,2023-01-05 21:00:00,2023-01-06 00:00:00,1561,2.5670516587905863
3,21,2023-01-05 22:00:00,2023-01-06 07:00:00,1154,7.609364249629873
24,18,2023-01-05 23:00:00,2023-01-06 06:00:00,815,4.358345347140406
11,38,2023-01-06 00:00:00,2023-01-06 04:00:00,837,8.82634300381877
13,43,2023-01-06 01:00:00,2023-01-06 07:00:00,2508,5.273996685614544
2,5,2023-01-06 02:00:00,2023-01-06 11:00:00,1948,6.2202671675676955
15,18,2023-01-06 03:00:00,2023-01-06 09:00:00,2423,1.7377449792749404
11,29,2023-01-06 04:00:00,2023-01-06 13:00:00,1376,5.303034654627342
21,53,2023-01-06 05:00:00,2023-01-06 13:00:00,1734,2.547841685029697
6,2,2023-01-06 06:00:00,2023-01-06 11:00:00,843,8.501241187707128
13,36,2023-01-06 07:00:00,2023-01-06 13:00:00,2606,4.66280759332182
4,12,2023-01-06 08:00:00,2023-01-06 16:00:00,1975,8.957099571802212
11,49,2023-01-06 09:00:00,2023-01-06 17:00:00,369,2.028737756519203
17,39,2023-01-06 10:00:00,2023-01-06 13:00:00,1166,8.683877445142741
3,7,2023-01-06 11:00:00,2023-01-06 14:00:00,2217,5.717101528850028
2,46,2023-01-06 12:00:00,2023-01-06 20:00:00,1443,3.5833551119915406
24,56,2023-01-06 13:00:00,2023-01-06 22:00:00,1579,5.626040869780277
13,2,2023-01-06 14:00:00,2023-01-06 23:00:00,1115,1.068649632583421
12,46,2023-01-06 15:00:00,2023-01-06 18:00:00,1056,4.935759504315291
1,11,2023-01-06 16:00:00,2023-01-06 21:00:00,954,3.933340440972013
15,30,2023-01-06 17:00:00,2023-01-06 23:00:00,1464,2.2250025445695396
9,38,2023-01-06 18:00:00,2023-01-06 20:00:00,489,4.394571064391895
15,22,2023-01-06 19:00:00,2023-01-07 04:00:00,2831,7.097394203985807
20,6,2023-01-06 20:00:00,2023-01-06 23:00:00,1025,9.764504347491442
9,42,2023-01-06 21:00:00,2023-01-07 01:00:00,57,4.298757582239112
13,22,2023-01-06 22:00:00,2023-01-07 03:00:00,843,5.6715217827695374
19,47,2023-01-06 23:00:00,2023-01-07 04:00:00,1281,5.012754962244542
20,6,2023-01-07 00:00:00,2023-01-07 08:00:00,2328,9.15734596630744
14,20,2023-01-07 01:00:00,2023-01-07 10:00:00,2052,2.985162635494761
11,46,2023-01-07 02:00:00,2023-01-07 06:00:00,853,7.553556706098123
13,58,2023-01-07 03:00:00,2023-01-07 07:00:00,563,1.7230218486139643
1,54,2023-01-07 04:00:00,2023-01-07 09:00:00,1168,2.888860729221918
5,19,2023-01-07 05:00:00,2023-01-07 12:00:00,1164,2.001555741675608
6,39,2023-01-07 06:00:00,2023-01-07 08:00:00,648,5.9429270771421
21,25,2023-01-07 07:00:00,2023-01-07 13:00:00,916,1.8586697118193085
21,29,2023-01-07 08:00:00,2023-01-07 12:00:00,555,9.129746283180836
2,54,2023-01-07 09:00:00,2023-01-07 14:00:00,901,4.330960062215631
1,13,2023-01-07 10:00:00,2023-01-07 18:00:00,2945,8.414025451928406
21,40,2023-01-07 11:00:00,2023-01-07 19:00:00,1544,9.16948706488994
7,28,2023-01-07 12:00:00,2023-01-07 14:00:00,1472,3.8864240568941435
12,33,2023-01-07 13:00:00,2023-01-07 18:00:00,1533,9.175037420492238
1,54,2023-01-07 14:00:00,2023-01-07 19:00:00,1548,4.272437018319382
6,7,2023-01-07 15:00:00,2023-01-07 17:00:00,731,1.143902957500293
10,55,2023-01-07 16:00:00,2023-01-07 22:00:00,2100,6.804389676835435
9,42,2023-01-07 17:00:00,2023-01-08 01:00:00,1866,8.339300414467086
2,34,2023-01-07 18:00:00,2023-01-07 23:00:00,466,1.4470144925904505
20,5,2023-01-07 19:00:00,2023-01-08 00:00:00,2356,8.209811571836243
14,40,2023-01-07 20:00:00,2023-01-08 05:00:00,871,2.9388909294186303
7,2,2023-01-07 21:00:00,2023-01-07 23:00:00,995,1.3650805049962296
22,38,2023-01-07 22:00:00,2023-01-08 04:00:00,204,2.9386937907465276
6,57,2023-01-07 23:00:00,2023-01-08 08:00:00,267,4.578801936879681
17,53,2023-01-08 00:00:00,2023-01-08 06:00:00,2859,8.932130971784598
16,57,2023-01-08 01:00:00,2023-01-08 09:00:00,149,3.7016674230057314
22,46,2023-01-08 02:00:00,2023-01-08 07:00:00,1625,5.46296250739961
24,33,2023-01-08 03:00:00,2023-01-08 10:00:00,1895,9.492083141822395
20,29,2023-01-08 04:00:00,2023-01-08 12:00:00,1092,6.725307646220107
