,0
avg_truck_wait_min,0.0957706
yard_utilization_ratio_lag_48h,0.016082374
month,0.015810883
wave_height_m_lag_72h,0.01569868
yard_utilization_ratio_roll_mean_24h,0.01525682
yard_utilization_ratio_roll_std_48h,0.014611074
temperature_c_roll_mean_72h,0.014231266
wind_speed_mps_lag_48h,0.013946707
rainfall_mm_roll_mean_48h,0.013824891
temperature_c_roll_mean_24h,0.013791867
rainfall_mm_roll_std_24h,0.0135718025
wind_speed_mps_roll_std_24h,0.013527778
rainfall_mm,0.01338888
rainfall_mm_lag_24h,0.0130145755
visibility_km_lag_48h,0.012981095
temperature_c_roll_std_48h,0.012790264
avg_truck_wait_min_lag_72h,0.012783413
hour,0.012622099
temperature_c_roll_mean_48h,0.0126203215
yard_occupied_teu,0.012542633
rainfall_mm_roll_mean_72h,0.01237882
rainfall_mm_roll_std_48h,0.012342475
avg_truck_wait_min_lag_24h,0.012335117
avg_truck_wait_min_roll_std_24h,0.012259763
wave_height_m,0.012218888
rainfall_mm_roll_mean_24h,0.012191626
wave_height_m_lag_48h,0.012079014
avg_truck_wait_min_roll_std_48h,0.0119517185
avg_truck_wait_min_roll_mean_24h,0.011948958
avg_truck_wait_min_roll_std_72h,0.0119412085
wind_speed_mps_roll_mean_72h,0.011940226
temperature_c_lag_24h,0.011800397
wave_height_m_roll_mean_72h,0.011722238
wind_speed_mps,0.011693131
yard_utilization_ratio_roll_std_72h,0.011534874
yard_utilization_ratio_roll_mean_72h,0.011481653
gate_in_trucks,0.011460843
visibility_km_roll_std_48h,0.0113719925
_fut_yard_utilization_ratio_24h,0.011273402
wave_height_m_roll_std_72h,0.011260339
avg_truck_wait_min_roll_mean_48h,0.011133265
temperature_c_roll_std_72h,0.011105873
visibility_km_lag_24h,0.011073086
visibility_km_roll_mean_72h,0.010987099
yard_utilization_ratio_lag_24h,0.010952672
wave_height_m_roll_std_48h,0.010907225
weekday,0.010895711
wave_height_m_roll_mean_48h,0.010871322
visibility_km_roll_mean_24h,0.010838404
wind_speed_mps_roll_std_72h,0.010837713
