timestamp,yard_capacity_teu,yard_occupied_teu,gate_in_trucks,gate_out_trucks,avg_truck_wait_min,timestamp_was_missing,yard_capacity_teu_was_missing,yard_occupied_teu_was_missing,gate_in_trucks_was_missing,gate_out_trucks_was_missing,avg_truck_wait_min_was_missing,yard_utilization_ratio,timestamp_was_missing_was_missing,yard_capacity_teu_was_missing_was_missing,yard_occupied_teu_was_missing_was_missing,gate_in_trucks_was_missing_was_missing,gate_out_trucks_was_missing_was_missing,avg_truck_wait_min_was_missing_was_missing,yard_utilization_ratio_was_missing
2023-01-01 00:00:00+00:00,38999,6814,1153,272,41.32601100442242,0,0,0,0,0,0,0.17472242878022515,0,0,0,0,0,0,0
2023-01-01 00:05:00+00:00,28093,37983,845,1010,60.75205845419144,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0
2023-01-01 00:10:00+00:00,45459,46097,788,1062,59.36252270702134,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0
2023-01-01 00:15:00+00:00,25781,12374,376,359,41.15596928896581,0,0,0,0,0,0,0.47996586633567356,0,0,0,0,0,0,0
2023-01-01 00:20:00+00:00,47169,30286,205,576,35.32634140516889,0,0,0,0,0,0,0.6420742436769913,0,0,0,0,0,0,0
2023-01-01 00:25:00+00:00,45859,28937,844,355,66.12015963406992,0,0,0,0,0,0,0.6309993676268563,0,0,0,0,0,0,0
2023-01-01 00:30:00+00:00,22287,14453,588,110,59.44699520066536,0,0,0,0,0,0,0.6484946381298515,0,0,0,0,0,0,0
2023-01-01 00:35:00+00:00,32614,14410,274,89,68.99625871753804,0,0,0,0,0,0,0.44183479487336724,0,0,0,0,0,0,0
2023-01-01 00:40:00+00:00,34083,44763,931,885,56.61396333509663,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0
2023-01-01 00:45:00+00:00,47300,22341,1173,252,59.44229552625233,0,0,0,0,0,0,0.47232558139534886,0,0,0,0,0,0,0
2023-01-01 00:50:00+00:00,45819,21630,1035,823,17.25969176928006,0,0,0,0,0,0,0.4720749034243436,0,0,0,0,0,0,0
2023-01-01 00:55:00+00:00,26421,23592,431,144,63.65381420427469,0,0,0,0,0,0,0.8929260815260588,0,0,0,0,0,0,0
2023-01-01 01:00:00+00:00,34171,28117,383,949,49.07178265363487,0,0,0,0,0,0,0.8228322261566826,0,0,0,0,0,0,0
2023-01-01 01:05:00+00:00,38687,36477,128,771,68.10717505084284,0,0,0,0,0,0,0.9428748675265594,0,0,0,0,0,0,0
2023-01-01 01:10:00+00:00,42738,45967,198,388,15.484736639344328,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0
2023-01-01 01:15:00+00:00,46155,33753,655,568,44.919740813961326,0,0,0,0,0,0,0.7312967175820605,0,0,0,0,0,0,0
2023-01-01 01:20:00+00:00,35519,10951,912,113,37.62377777500627,0,0,0,0,0,0,0.3083138601875053,0,0,0,0,0,0,0
2023-01-01 01:25:00+00:00,30161,29580,132,872,46.820268395174935,0,0,0,0,0,0,0.9807367129737078,0,0,0,0,0,0,0
2023-01-01 01:30:00+00:00,24370,39935,313,1074,81.38924771259117,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0
2023-01-01 01:35:00+00:00,33080,46014,320,896,84.16537962884209,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0
2023-01-01 01:40:00+00:00,49226,10298,406,563,54.11840010236714,0,0,0,0,0,0,0.20919839109413724,0,0,0,0,0,0,0
2023-01-01 01:45:00+00:00,24043,20410,478,977,68.02687303155824,0,0,0,0,0,0,0.8488957284864618,0,0,0,0,0,0,0
