vessel_id,vessel_type,scheduled_arrival,actual_arrival,departure_time,berth_id,gross_tonnage,length_overall_m
VSL100000,Tanker,2023-01-01 00:00:00,2023-01-01 09:00:00,2023-01-02 13:00:00,2,25843,264
VSL100001,Container,2023-01-01 01:00:00,2023-01-01 10:00:00,2023-01-03 21:00:00,11,155456,389
VSL100002,Tanker,2023-01-01 02:00:00,2023-01-01 05:00:00,2023-01-03 10:00:00,1,119139,342
VSL100003,Tanker,2023-01-01 03:00:00,2023-01-01 11:00:00,2023-01-03 21:00:00,21,109481,277
VSL100004,Container,2023-01-01 04:00:00,2023-01-01 11:00:00,2023-01-03 23:00:00,7,97314,214
VSL100005,Container,2023-01-01 05:00:00,2023-01-01 08:00:00,2023-01-03 18:00:00,12,40631,210
VSL100006,Tanker,2023-01-01 06:00:00,2023-01-01 11:00:00,2023-01-02 17:00:00,8,107169,181
VSL100007,Bulk,2023-01-01 07:00:00,2023-01-01 13:00:00,2023-01-02 09:00:00,12,112986,204
VSL100008,Tanker,2023-01-01 08:00:00,2023-01-01 17:00:00,2023-01-03 23:00:00,15,44617,310
VSL100009,Tanker,2023-01-01 09:00:00,2023-01-01 16:00:00,2023-01-03 13:00:00,14,134066,156
VSL100010,Tanker,2023-01-01 10:00:00,2023-01-01 13:00:00,2023-01-03 07:00:00,20,69433,383
VSL100011,Tanker,2023-01-01 11:00:00,2023-01-01 11:00:00,2023-01-03 20:00:00,1,38559,288
VSL100012,Container,2023-01-01 12:00:00,2023-01-01 16:00:00,2023-01-02 17:00:00,21,151887,351
VSL100013,Tanker,2023-01-01 13:00:00,2023-01-01 13:00:00,2023-01-03 23:00:00,3,51816,374
VSL100014,Bulk,2023-01-01 14:00:00,2023-01-02 00:00:00,2023-01-04 04:00:00,1,125891,231
VSL100015,Container,2023-01-01 15:00:00,2023-01-02 01:00:00,2023-01-03 06:00:00,11,173696,284
VSL100016,Bulk,2023-01-01 16:00:00,2023-01-01 19:00:00,2023-01-03 22:00:00,23,139293,291
VSL100017,Bulk,2023-01-01 17:00:00,2023-01-01 23:00:00,2023-01-04 12:00:00,9,22442,341
VSL100018,Bulk,2023-01-01 18:00:00,2023-01-02 00:00:00,2023-01-03 08:00:00,4,176137,285
VSL100019,Bulk,2023-01-01 19:00:00,2023-01-01 19:00:00,2023-01-04 16:00:00,8,58056,328
VSL100020,Container,2023-01-01 20:00:00,2023-01-02 04:00:00,2023-01-02 20:00:00,17,83549,278
VSL100021,Container,2023-01-01 21:00:00,2023-01-01 22:00:00,2023-01-04 16:00:00,14,167543,373
VSL100022,Bulk,2023-01-01 22:00:00,2023-01-02 02:00:00,2023-01-03 17:00:00,20,94783,398
VSL100023,Bulk,2023-01-01 23:00:00,2023-01-02 04:00:00,2023-01-03 21:00:00,16,138816,366
VSL100024,Container,2023-01-02 00:00:00,2023-01-02 00:00:00,2023-01-03 19:00:00,20,143344,306
VSL100025,Container,2023-01-02 01:00:00,2023-01-02 12:00:00,2023-01-04 08:00:00,2,80505,224
VSL100026,Container,2023-01-02 02:00:00,2023-01-02 03:00:00,2023-01-04 23:00:00,24,95969,255
VSL100027,Tanker,2023-01-02 03:00:00,2023-01-02 09:00:00,2023-01-05 02:00:00,8,125165,204
VSL100028,Tanker,2023-01-02 04:00:00,2023-01-02 09:00:00,2023-01-04 04:00:00,23,88416,195
VSL100029,Tanker,2023-01-02 05:00:00,2023-01-02 10:00:00,2023-01-05 03:00:00,15,101476,283
VSL100030,Bulk,2023-01-02 06:00:00,2023-01-02 11:00:00,2023-01-03 13:00:00,4,110019,185
VSL100031,Tanker,2023-01-02 07:00:00,2023-01-02 13:00:00,2023-01-04 15:00:00,21,142776,243
VSL100032,Bulk,2023-01-02 08:00:00,2023-01-02 17:00:00,2023-01-05 04:00:00,15,178229,324
VSL100033,Bulk,2023-01-02 09:00:00,2023-01-02 20:00:00,2023-01-04 14:00:00,21,40548,369
VSL100034,Tanker,2023-01-02 10:00:00,2023-01-02 21:00:00,2023-01-03 12:00:00,1,89372,355
VSL100035,Bulk,2023-01-02 11:00:00,2023-01-02 19:00:00,2023-01-04 10:00:00,13,30587,249
VSL100036,Tanker,2023-01-02 12:00:00,2023-01-02 20:00:00,2023-01-03 23:00:00,22,146638,194
VSL100037,Tanker,2023-01-02 13:00:00,2023-01-02 14:00:00,2023-01-04 19:00:00,7,121716,323
VSL100038,Container,2023-01-02 14:00:00,2023-01-02 15:00:00,2023-01-03 20:00:00,16,115183,173
VSL100039,Tanker,2023-01-02 15:00:00,2023-01-02 19:00:00,2023-01-05 06:00:00,4,148901,316
VSL100040,Container,2023-01-02 16:00:00,2023-01-03 01:00:00,2023-01-04 08:00:00,3,114898,222
VSL100041,Tanker,2023-01-02 17:00:00,2023-01-02 23:00:00,2023-01-04 02:00:00,12,177650,309
VSL100042,Tanker,2023-01-02 18:00:00,2023-01-03 05:00:00,2023-01-04 08:00:00,24,130071,277
VSL100043,Container,2023-01-02 19:00:00,2023-01-03 06:00:00,2023-01-04 15:00:00,18,66089,267
VSL100044,Container,2023-01-02 20:00:00,2023-01-02 22:00:00,2023-01-04 16:00:00,14,81899,188
VSL100045,Tanker,2023-01-02 21:00:00,2023-01-02 23:00:00,2023-01-05 01:00:00,1,110352,299
VSL100046,Bulk,2023-01-02 22:00:00,2023-01-03 01:00:00,2023-01-05 15:00:00,7,82655,328
VSL100047,Container,2023-01-02 23:00:00,2023-01-03 01:00:00,2023-01-05 15:00:00,19,86318,158
VSL100048,Bulk,2023-01-03 00:00:00,2023-01-03 02:00:00,2023-01-04 00:00:00,3,30236,297
VSL100049,Bulk,2023-01-03 01:00:00,2023-01-03 08:00:00,2023-01-04 21:00:00,22,176619,295
VSL100050,Bulk,2023-01-03 02:00:00,2023-01-03 08:00:00,2023-01-04 06:00:00,15,53969,352
VSL100051,Container,2023-01-03 03:00:00,2023-01-03 09:00:00,2023-01-04 17:00:00,19,82724,182
VSL100052,Bulk,2023-01-03 04:00:00,2023-01-03 13:00:00,2023-01-06 01:00:00,9,50592,273
VSL100053,Container,2023-01-03 05:00:00,2023-01-03 06:00:00,2023-01-05 06:00:00,18,170113,394
VSL100054,Bulk,2023-01-03 06:00:00,2023-01-03 16:00:00,2023-01-04 16:00:00,1,49195,180
VSL100055,Tanker,2023-01-03 07:00:00,2023-01-03 15:00:00,2023-01-05 03:00:00,7,95530,386
VSL100056,Tanker,2023-01-03 08:00:00,2023-01-03 13:00:00,2023-01-06 05:00:00,15,130664,241
VSL100057,Container,2023-01-03 09:00:00,2023-01-03 11:00:00,2023-01-04 14:00:00,7,96843,249
VSL100058,Tanker,2023-01-03 10:00:00,2023-01-03 18:00:00,2023-01-04 13:00:00,9,46182,185
VSL100059,Tanker,2023-01-03 11:00:00,2023-01-03 19:00:00,2023-01-06 07:00:00,21,21306,262
VSL100060,Bulk,2023-01-03 12:00:00,2023-01-03 17:00:00,2023-01-05 08:00:00,16,38726,151
VSL100061,Container,2023-01-03 13:00:00,2023-01-03 22:00:00,2023-01-05 05:00:00,19,135076,215
VSL100062,Bulk,2023-01-03 14:00:00,2023-01-03 19:00:00,2023-01-05 20:00:00,12,171240,255
VSL100063,Bulk,2023-01-03 15:00:00,2023-01-03 22:00:00,2023-01-06 10:00:00,18,138307,358
VSL100064,Bulk,2023-01-03 16:00:00,2023-01-03 23:00:00,2023-01-05 14:00:00,24,135200,162
VSL100065,Bulk,2023-01-03 17:00:00,2023-01-03 22:00:00,2023-01-06 00:00:00,16,57639,299
VSL100066,Bulk,2023-01-03 18:00:00,2023-01-04 00:00:00,2023-01-06 13:00:00,5,48416,254
VSL100067,Bulk,2023-01-03 19:00:00,2023-01-03 22:00:00,2023-01-06 06:00:00,2,29125,172
VSL100068,Bulk,2023-01-03 20:00:00,2023-01-03 20:00:00,2023-01-06 05:00:00,16,53082,310
VSL100069,Container,2023-01-03 21:00:00,2023-01-04 00:00:00,2023-01-05 02:00:00,6,140635,278
VSL100070,Tanker,2023-01-03 22:00:00,2023-01-04 05:00:00,2023-01-06 11:00:00,8,134044,185
VSL100071,Bulk,2023-01-03 23:00:00,2023-01-04 10:00:00,2023-01-05 20:00:00,19,134721,316
VSL100072,Bulk,2023-01-04 00:00:00,2023-01-04 07:00:00,2023-01-06 08:00:00,1,170313,377
VSL100073,Bulk,2023-01-04 01:00:00,2023-01-04 02:00:00,2023-01-05 11:00:00,21,46015,338
VSL100074,Bulk,2023-01-04 02:00:00,2023-01-04 08:00:00,2023-01-06 00:00:00,24,84493,312
VSL100075,Bulk,2023-01-04 03:00:00,2023-01-04 03:00:00,2023-01-06 22:00:00,5,67706,263
VSL100076,Bulk,2023-01-04 04:00:00,2023-01-04 05:00:00,2023-01-06 15:00:00,19,24457,290
VSL100077,Tanker,2023-01-04 05:00:00,2023-01-04 12:00:00,2023-01-06 08:00:00,7,109460,258
VSL100078,Tanker,2023-01-04 06:00:00,2023-01-04 16:00:00,2023-01-07 05:00:00,10,85395,235
VSL100079,Bulk,2023-01-04 07:00:00,2023-01-04 16:00:00,2023-01-06 01:00:00,16,124393,245
VSL100080,Tanker,2023-01-04 08:00:00,2023-01-04 11:00:00,2023-01-07 02:00:00,13,133408,212
VSL100081,Container,2023-01-04 09:00:00,2023-01-04 11:00:00,2023-01-07 03:00:00,7,167334,192
VSL100082,Bulk,2023-01-04 10:00:00,2023-01-04 11:00:00,2023-01-05 22:00:00,5,51625,393
VSL100083,Container,2023-01-04 11:00:00,2023-01-04 21:00:00,2023-01-05 23:00:00,18,25373,364
